frame_idx,ground_truth,action_score_propagated,is_retained_tier
0,0,0.39492297172546387,1
1,0,0.39492297172546387,0
2,0,0.39492297172546387,0
3,0,0.39492297172546387,0
4,0,0.39492297172546387,0
5,0,0.39492297172546387,0
6,0,0.39492297172546387,0
7,0,0.39492297172546387,0
8,0,0.39492297172546387,0
9,0,0.39492297172546387,0
10,0,0.39492297172546387,0
11,0,0.39492297172546387,0
12,0,0.39492297172546387,0
13,0,0.39492297172546387,0
14,0,0.39492297172546387,0
15,0,0.39492297172546387,0
16,0,0.39492297172546387,0
17,0,0.39492297172546387,0
18,0,0.39492297172546387,0
19,0,0.39492297172546387,0
20,0,0.39492297172546387,0
21,0,0.39492297172546387,0
22,0,0.39492297172546387,0
23,0,0.39492297172546387,0
24,0,0.39492297172546387,0
25,0,0.39492297172546387,0
26,0,0.39492297172546387,0
27,0,0.39492297172546387,0
28,0,0.39492297172546387,0
29,0,0.39492297172546387,0
30,0,0.39492297172546387,0
31,0,0.39492297172546387,0
32,0,0.39492297172546387,0
33,0,0.31408360600471497,1
34,0,0.31408360600471497,0
35,0,0.04550132527947426,1
36,0,0.04550132527947426,0
37,0,0.04550132527947426,0
38,0,0.04550132527947426,0
39,0,0.04550132527947426,0
40,0,0.04550132527947426,0
41,0,0.04550132527947426,0
42,0,0.04550132527947426,0
43,0,0.04550132527947426,0
44,0,0.04550132527947426,0
45,0,0.04550132527947426,0
46,0,0.04550132527947426,0
47,0,0.04550132527947426,0
48,0,0.03318561986088753,1
49,0,0.03318561986088753,0
50,0,0.03318561986088753,0
51,0,0.03318561986088753,0
52,0,0.03318561986088753,0
53,0,0.03318561986088753,0
54,0,0.03318561986088753,0
55,0,0.03318561986088753,0
56,0,0.03318561986088753,0
57,0,0.03318561986088753,0
58,0,0.03318561986088753,0
59,0,0.03318561986088753,0
60,0,0.03318561986088753,0
61,0,0.08681464195251465,1
62,0,0.08681464195251465,0
63,0,0.08681464195251465,0
64,0,0.08681464195251465,0
65,0,0.08681464195251465,0
