frame_idx,action_score,is_peak,persistence_value
0,0.031096283346414566,False,0.0
1,0.0,False,0.0
2,0.0,False,0.0
3,0.0,False,0.0
4,0.0,False,0.0
5,0.3949485421180725,True,0.6869989037513733
6,0.051449090242385864,False,0.0
7,0.17862118780612946,False,0.0
8,0.23121026158332825,False,0.0
9,0.13048657774925232,False,0.0
10,0.1831049621105194,False,0.10523676872253418
11,0.12442028522491455,False,0.0
12,0.1409047544002533,False,0.0
13,0.128464475274086,False,0.0
14,0.14714686572551727,False,0.0
15,0.16029046475887299,False,0.0
16,0.2901254892349243,False,0.0
17,0.1948418915271759,False,0.0
18,0.2967083156108856,False,0.0
19,0.28086549043655396,False,0.0
20,0.27473416924476624,False,0.0
21,0.2702966332435608,False,0.0
22,0.2765549421310425,False,0.0
23,0.2895815670490265,False,0.0
24,0.27149438858032227,False,0.0
25,0.26474395394325256,False,0.0
26,0.3085993528366089,False,0.0
27,0.3221113383769989,False,0.0
28,0.30184316635131836,False,0.0
29,0.28713178634643555,False,0.0
30,0.39785709977149963,False,0.0
31,0.3276624083518982,False,0.0
32,0.4162675440311432,True,0.7776396460831165
33,0.30003732442855835,False,0.0
34,0.28065985441207886,False,0.0
35,0.24912936985492706,False,0.0
36,0.1422235071659088,False,0.0
37,0.060724347829818726,False,0.0
38,0.05580098554491997,False,0.0
39,0.04459155723452568,False,0.0
40,0.03131607547402382,False,0.0
41,0.027799392119050026,False,0.0
42,0.029909402132034302,False,0.0
43,0.028370851650834084,False,0.0
44,0.027623554691672325,False,0.0
45,0.030392944812774658,False,0.0
46,0.027447720989584923,False,0.0
47,0.10907875746488571,False,0.0
48,0.1236729845404625,False,0.1889338381588459
49,0.08265966922044754,False,0.0
50,0.04472343251109123,False,0.0
51,0.0381736122071743,False,0.0
52,0.03144795075058937,False,0.0
53,0.03307441994547844,False,0.0
54,0.030700653791427612,False,0.0
55,0.029381899163126945,False,0.0
56,0.032722748816013336,False,0.0
57,0.030964408069849014,False,0.0
58,0.03043690323829651,False,0.0
59,0.03281066566705704,False,0.0
60,0.03048086166381836,False,0.0
61,0.03210733085870743,False,0.0
62,0.03725048154592514,False,0.0
63,0.03294254466891289,False,0.0
64,0.11685941368341446,False,0.17495502904057503
65,0.0749669224023819,False,0.0
66,0.04054737091064453,False,0.0
67,0.03289858624339104,False,0.0
68,0.03245899826288223,False,0.0
69,0.03443713113665581,False,0.0
70,0.03703068941831589,False,0.0
71,0.04692136123776436,False,0.0
72,0.03536026179790497,False,0.0
73,0.03294254466891289,False,0.0
74,0.03237108141183853,False,0.0
75,0.032722748816013336,False,0.0
76,0.033601921051740646,False,0.0
