video,qid,hit_clip,hit_motion_magnitude,hit_divergence,hit_curl,hit_jacobian_frobenius,hit_hessian_max_eigenvalue,hit_motion_entropy,hit_blend_0.7c_0.3m_motion_magnitude,hit_blend_0.5c_0.5m_motion_magnitude,hit_blend_0.3c_0.7m_motion_magnitude,hit_blend_0.7c_0.3m_divergence,hit_blend_0.5c_0.5m_divergence,hit_blend_0.3c_0.7m_divergence,hit_blend_0.7c_0.3m_curl,hit_blend_0.5c_0.5m_curl,hit_blend_0.3c_0.7m_curl,hit_blend_0.7c_0.3m_jacobian_frobenius,hit_blend_0.5c_0.5m_jacobian_frobenius,hit_blend_0.3c_0.7m_jacobian_frobenius,hit_blend_0.7c_0.3m_hessian_max_eigenvalue,hit_blend_0.5c_0.5m_hessian_max_eigenvalue,hit_blend_0.3c_0.7m_hessian_max_eigenvalue,hit_blend_0.7c_0.3m_motion_entropy,hit_blend_0.5c_0.5m_motion_entropy,hit_blend_0.3c_0.7m_motion_entropy
2510696559,7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
9873067604,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7888256388,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6018514357,2,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
4626535366,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
5658916668,7,False,True,False,True,True,True,False,True,True,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False
5586394125,3,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False,True,True,True,False,False,False
7888256388,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4087013668,5,True,True,False,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
3402648543,6,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
3402648543,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4279106208,3,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
5702201498,1,False,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True
11565498775,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10597533885,4,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
6793786769,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
3124551255,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
